,NK,Fibro,EpiT,Mast,Macro,Granulo,DC,Tgd,TCD4,Epi,Endo,Peri,SmoothMuscle,TZBTB16,TCD8,ILC,B,Plasma,Mono,Schwann
AL627309.1,0.150353886914332,0.0100880176887892,0.372701287200459,0.456711890401997,0.122138591279313,0.909441868024762,0.109714764831365,0,0.0497399188473605,0.123690474434083,0.00596732285566978,0.0178904817214484,0,0.038045326791973,0.0710129828585602,0,0,0.167726785688285,0.0896511945607129,0
PERM1,0,0,0,0,0,0,0,0,0,0,0,0.00476617001491786,0.0140529357327562,0,0,0,0,0,0,0
HES4,0.253903448798209,1.51134252828072,1.68152308959288,2.48542155841553,0.697682668033721,4.84704844473659,0.80958562047164,0.794080669705507,0.710527349141129,2.46780215082361,2.3935478233079,7.91484425250871,9.28865359691757,1.25237984673808,0.721945300059248,0,0,1.10236497504413,0.797223650409792,1.73789779530558
ISG15,4.88045654806002,3.46048049754046,5.80418866049207,4.98163116113092,4.10608880186896,2.85061891023097,4.44177821636271,8.27115379130727,7.21109865309662,6.03243181144077,6.33211789399975,7.87272482577902,4.22314279041207,7.55127360349351,7.39836740246551,6.02302617843131,6.44348561813213,5.63487905463825,4.13849696503193,5.83352813063578
RP11-465B22.6,0,0,0,0,0,0,0,0,0,0,0.0453977960843196,0,0,0,0,0,0,0,0,0
TNFRSF18,6.67797857144897,0.118633166438564,0.0379331183870876,1.73420628758676,0.309583933073886,0,0.421781435730999,3.14187632633441,9.12377858840975,0.0332947018784773,0.203236010741379,0.0273055911901751,0.0533389958483648,10.0036800129213,3.12259494232253,12.3226277382382,0,2.60161614034281,0.330982036637259,0.0614885346380272
TNFRSF4,1.44755298896062,0.143122540640109,0.0323139221961725,1.88073520489793,0.240905542833266,0,0.331187045274684,0.4202581803836,8.74780452805845,0,2.69618638828682,0.0153488242910599,0.0266998971976027,1.16490411558241,0.571508336469481,7.15852764916495,0.905728895350424,0.998787497538756,0.547640880172023,0
VWA1,0,0.516453866944188,1.00995216657051,0,0.142714649905926,0,0.0161869076863508,0,0,0.418931081972672,6.84878739032664,0.591226727599599,0.202402989189977,0,0,0,0,0.0790131020471796,0,4.64737578130735
CCDC27,0,0,0,0,0,0,0,0,0,0.0243187438745989,0,0,0,0,0,0,0.396888469817108,0,0,0
SMIM1,0.177020591610711,0.126791006813766,0.192622503507561,2.55793582009717,0.051175705863825,0.398104464700854,0.100919384602735,0,0,0.0154299388021659,0,0,0.135982144973575,0.0674768148387379,0.0345683641156331,0,0,0.552069177317282,0.0357173506847754,0.0881940486034972
RN7SL574P,0,0,0,0,0.0124957265289737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065229866295451
CHD5,0,0,0.00640149367273079,0,0,0,0,0,0,0,0,0,0.053684377707587,0,0,0,0,0,0,0
TNFRSF25,1.03464586585873,0.0581211139225181,0.62220886866974,0.0774246842536222,0.0794576979995756,0,0.183479760664338,0,5.46762512279328,0.249850708265586,0.428525288622389,0.019274056075306,0,0.51817355565426,0.969107261302143,8.93363259815459,0,0.0537647074906444,0.0680876554034672,0.0725684211364039
RP11-242F24.1,0,0.0157379502250251,0,0,0,0,0,0,0.0709536670544403,0,0,0,0,0,0,0,0,0,0,0
UTS2,0,0,0.169304796931377,2.73601881454199,0.0201163063608157,0,0.0851896025114366,0,0.219882221939464,0,0.0505844769542916,0,0,0.130102639186296,0.0761923511988168,0,0,0,0,0
